epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.171,1.7746,1.29114,1.23497,0.6937,0.51839,0.54653,0.24029,1.80331,1.24019,1.27776,0.000553186,0.000553186,0.000553186
2,978.869,1.80238,1.2804,1.23164,0.60197,0.48362,0.50003,0.21833,1.86335,1.399,1.31689,0.00110777,0.00110777,0.00110777
3,1462.32,1.82809,1.33855,1.22486,0.6395,0.48993,0.5267,0.22652,1.8665,1.3333,1.30229,0.00165802,0.00165802,0.00165802
4,1960.31,1.82599,1.35643,1.25356,0.58795,0.48071,0.49871,0.22108,1.84421,1.28607,1.32629,0.00165238,0.00165238,0.00165238
5,2438.32,1.81664,1.32825,1.25669,0.63111,0.51193,0.52488,0.23549,1.87562,1.27902,1.32622,0.00164108,0.00164108,0.00164108
6,2922.58,1.82266,1.3487,1.24582,0.66732,0.50659,0.53981,0.23484,1.87826,1.23128,1.3122,0.00162661,0.00162661,0.00162661
7,3404.85,1.77546,1.2742,1.23344,0.66855,0.52817,0.56068,0.25233,1.78272,1.26975,1.27649,0.00160905,0.00160905,0.00160905
8,3882.37,1.76724,1.23372,1.20268,0.68304,0.52523,0.56469,0.25405,1.78304,1.19646,1.27355,0.00158847,0.00158847,0.00158847
9,4361.05,1.76508,1.21161,1.19921,0.70013,0.51969,0.55729,0.24844,1.82642,1.22371,1.28403,0.00156493,0.00156493,0.00156493
10,4919.14,1.80478,1.28442,1.21437,0.69142,0.52053,0.57083,0.26026,1.8,1.19739,1.26367,0.00153854,0.00153854,0.00153854
11,5431.93,1.76241,1.21947,1.21123,0.67659,0.53007,0.56283,0.25429,1.79551,1.18477,1.26436,0.00150941,0.00150941,0.00150941
12,5926.84,1.76334,1.19448,1.20443,0.67427,0.56925,0.60252,0.28042,1.72257,1.12568,1.23228,0.00147764,0.00147764,0.00147764
13,6432.9,1.75657,1.21881,1.20869,0.67064,0.54264,0.57554,0.26765,1.76644,1.15052,1.26703,0.00144335,0.00144335,0.00144335
14,6932.86,1.74778,1.16993,1.18105,0.71557,0.56802,0.60923,0.27479,1.76072,1.09539,1.247,0.0014067,0.0014067,0.0014067
15,7446.78,1.74302,1.17314,1.19079,0.67049,0.57546,0.60657,0.27181,1.74039,1.09373,1.2508,0.00136781,0.00136781,0.00136781
16,8010.09,1.69755,1.12608,1.1724,0.70659,0.56171,0.59792,0.27962,1.74048,1.10356,1.26064,0.00132685,0.00132685,0.00132685
17,8521.63,1.69943,1.10094,1.1693,0.68485,0.54267,0.59695,0.27791,1.74179,1.11951,1.23143,0.00128398,0.00128398,0.00128398
18,8997.82,1.69212,1.10512,1.15543,0.71947,0.56746,0.61718,0.2952,1.68778,1.06057,1.21826,0.00123936,0.00123936,0.00123936
19,9479.25,1.6766,1.10032,1.1556,0.68952,0.58345,0.61623,0.28929,1.70445,1.05095,1.22601,0.00119317,0.00119317,0.00119317
20,9959.73,1.66861,1.08325,1.16764,0.75779,0.55202,0.60857,0.28216,1.74299,1.08633,1.23715,0.0011456,0.0011456,0.0011456
21,10440.7,1.67204,1.08131,1.15807,0.70067,0.58395,0.61466,0.29099,1.72257,1.06792,1.22018,0.00109683,0.00109683,0.00109683
22,10928.1,1.63742,1.0626,1.13965,0.71471,0.5692,0.61216,0.29072,1.70742,1.03562,1.23451,0.00104705,0.00104705,0.00104705
23,11408.6,1.66214,1.04982,1.1451,0.75066,0.57128,0.63671,0.29254,1.72996,1.03676,1.24001,0.000996456,0.000996456,0.000996456
24,11885.1,1.64034,1.01219,1.13643,0.70743,0.59774,0.63005,0.29731,1.67456,1.00761,1.20383,0.000945256,0.000945256,0.000945256
25,12359.4,1.60159,1.01827,1.12766,0.73804,0.60961,0.64997,0.31129,1.67218,1.0055,1.20531,0.000893648,0.000893648,0.000893648
26,12842.7,1.59545,0.98071,1.11579,0.73168,0.58824,0.6338,0.3006,1.68325,1.00135,1.22556,0.000841835,0.000841835,0.000841835
27,13324.6,1.59825,0.9866,1.13162,0.76026,0.60175,0.65009,0.30452,1.6907,1.00296,1.20348,0.000790022,0.000790022,0.000790022
28,13808.9,1.55762,0.97569,1.10363,0.73037,0.59684,0.63172,0.29757,1.6916,0.99131,1.20179,0.000738414,0.000738414,0.000738414
29,14292.8,1.5681,0.95989,1.11282,0.72791,0.60346,0.64966,0.30722,1.68034,0.96494,1.19828,0.000687214,0.000687214,0.000687214
30,14771.3,1.54336,0.91573,1.08803,0.75792,0.59774,0.65232,0.31144,1.68855,0.95875,1.20579,0.000636625,0.000636625,0.000636625
31,15247.9,1.50384,0.89305,1.08776,0.73289,0.61998,0.65447,0.31137,1.71121,0.96201,1.19609,0.000586845,0.000586845,0.000586845
32,15722.1,1.53537,0.90979,1.09246,0.71942,0.62708,0.65852,0.32138,1.63793,0.95299,1.18954,0.000538072,0.000538072,0.000538072
33,16200.9,1.50273,0.90549,1.08273,0.76052,0.61932,0.66647,0.3188,1.6381,0.94268,1.17844,0.000490497,0.000490497,0.000490497
34,16679.9,1.48188,0.89056,1.07473,0.74243,0.62152,0.66588,0.32,1.64772,0.93942,1.18276,0.000444309,0.000444309,0.000444309
35,17152.3,1.47326,0.86834,1.06706,0.74955,0.62152,0.66262,0.32417,1.66182,0.92377,1.17932,0.000399689,0.000399689,0.000399689
36,17634.1,1.47057,0.86843,1.06997,0.74567,0.62176,0.66463,0.32547,1.62419,0.91406,1.18023,0.000356815,0.000356815,0.000356815
